title,artist,hot
Die With A Smile,Lady Gaga & Bruno Mars,1
A Bar Song (Tipsy),Shaboozey,1
Birds Of A Feather,Billie Eilish,1
Lose Control,Teddy Swims,1
APT.,ROSE & Bruno Mars,1
That's So True,Gracie Abrams,1
Luther,Kendrick Lamar & SZA,1
I Had Some Help,Post Malone Featuring Morgan Wallen,1
Espresso,Sabrina Carpenter,1
Taste,Sabrina Carpenter,1
TV Off,Kendrick Lamar Featuring Lefty Gunplay,1
Beautiful Things,Benson Boone,1
Love Somebody,Morgan Wallen,1
Too Sweet,Hozier,1
Timeless,The Weeknd & Playboi Carti,1
Squabble Up,Kendrick Lamar,1
"Good Luck, Babe!",Chappell Roan,1
Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",1
Stargazing,Myles Smith,1
Not Like Us,Kendrick Lamar,1
Whatchu Kno About Me,GloRilla & Sexyy Red,1
30 For 30,SZA With Kendrick Lamar,1
High Road,Koe Wetzel & Jessie Murph,1
Who,Jimin,1
Messy,Lola Young,1
Please Please Please,Sabrina Carpenter,1
Smile,Morgan Wallen,1
I Am Not Okay,Jelly Roll,1
BMF,SZA,1
Million Dollar Baby,Tommy Richman,1
Wind Up Missin' You,Tucker Wetmore,1
Bed Chem,Sabrina Carpenter,1
Sailor Song,Gigi Perez,1
Lies Lies Lies,Morgan Wallen,1
Wildflower,Billie Eilish,1
Pink Pony Club,Chappell Roan,1
Like Him,"Tyler, The Creator Featuring Lola Young",1
I Never Lie,Zach Top,1
Liar,Jelly Roll,1
I'm Gonna Love You,Cody Johnson & Carrie Underwood,1
Scorsese Baby Daddy,SZA,1
Tu Boda,Oscar Maydon & Fuerza Regida,1
"I Love You, I'm Sorry",Gracie Abrams,1
It's Ok I'm Ok,Tate McRae,1
4x4xU,Lainey Wilson,1
No One Noticed,The Marias,1
Good News,Shaboozey,1
Indigo,Sam Barber Featuring Avery Anna,1
Defying Gravity,Cynthia Erivo Featuring Ariana Grande,1
Loco,Neton Vega,1
Drive,SZA,1
Que Pasaria...,Rauw Alejandro & Bad Bunny,1
Think I'm In Love With You,Chris Stapleton,1
Guy For That,Post Malone Featuring Luke Combs,1
Dancing In The Flames,The Weeknd,1
Hey Now,Kendrick Lamar Featuring Dody6,1
Help Me,Real Boston Richey,1
Residuals,Chris Brown,1
Am I Okay?,Megan Moroney,1
Diamond Boy (DTM),SZA,1
I Ain't Sayin',Jordan Davis,1
What Do I Do,SZA,1
Heart Of A Woman,Summer Walker,1
Another Life,SZA,1
Bad Dreams,Teddy Swims,1
No Pole,Don Toliver,1
Empty Out Your Pockets,Juice WRLD,1
Dos Dias,Tito Double P & Peso Pluma,1
Close To You,Gracie Abrams,1
Popular,Ariana Grande,1
Crybaby,SZA,1
Wacced Out Murals,Kendrick Lamar,1
Diet Pepsi,Addison Rae,1
Apple,Charli xcx,1
Boys Back Home,Dylan Marlowe & Dylan Scott,1
25,Rod Wave,1
Kitchen,SZA,1
Peekaboo,Kendrick Lamar Featuring AzChike,1
Burning Down,Alex Warren,1
Disease,Lady Gaga,1
Shake Dat Ass (Twerk Song),BossMan Dlow,1
Gang Baby,NLE Choppa,1
Khe?,Rauw Alejandro & Romeo Santos,1
Brokey,Latto,1
Rosones,Tito Double P,1
Juno,Sabrina Carpenter,1
Nadie,Tito Double P,1
What Is This Feeling?,Ariana Grande & Cynthia Erivo,1
El Club,Bad Bunny,1
Dodger Blue,"Kendrick Lamar Featuring Wallie the Sensei, Siete7x & Roddy Ricch",1
Pitorro de Coco,Bad Bunny,1
The Largest,BigXthaPlug,1
Wondering Why,The Red Clay Strays,1
Ends Of The Earth,Ty Myers,1
Chill Baby,SZA,1
Holy Smokes,Bailey Zimmerman,1
High Road,Zach Bryan,1
On One Tonight,Gunna,1
St. Chroma,"Tyler, The Creator Featuring Daniel Caesar",1
Cowboy Songs,George Birge,1
Je Sais Que La Terre Est Plate,Rapha\xc3\xabl,0
On Efface,Julie Zenatti,0
Howells Delight,The Baltimore Consort,0
Martha Served,I Hate Sally,0
Zip-A-Dee-Doo-Dah (Song of the South),Orlando Pops Orchestra,0
Liquid Time (composition by John Goodsall),Brand X,0
Misery Path (From the Privilege of Evil),Amorphis,0
Nuovi Re pt. I I (feat. Tek money - Lady Tambler),Inoki,0
Halloween,Dead Kennedys,0
Parto em terras distantes,Brigada Victor Jara,0
You Eclipsed By Me (Album Version),Atreyu,0
Shovel,Mistress,0
What Drives The Weak,Shadows Fall,0
Life Force,Vanessa Daou,0
The Dance Of Europe,Dave Brockie Experience,0
Spoonie Is Back,Spoonie Gee,0
Blood Round Dance Song (World),R. Carlos Nakai,0
Crawling (Album Version),Linkin Park,0
Bennie,Koffi Olomid\xc3\xa9,0
Playa del sous-sol,Alain-Fran\xc3\xa7ois,0
Fascinating Rhythm (Instrumental) (2007 Digital Remaster),Billy May & His Orchestra,0
I'm Not Moving,Phil Collins,0
Grand Fr\xc3\xa8re,Philippe Sarde,0
Up Above My Head,Sister Rosetta Tharpe & Marie,0
Columbia,Oasis,0
Radar For Love,Kiss,0
Antarctica Starts Here,John Cale,0
Out In The Street (Live) (2008 Digital Remaster),UFO,0
Heavy On My Mind (Album Version),Back Door Slam,0
Everyone make love,Cool cavemen,0
Calm Da Seas,Dave Hollister,0
Ran Kan Kan,Nestor Torres,0
I Found You,The Impressions,0
Afraid Of Change (Tribal Vocal Mix),Casa Bulga,0
Grow Up_ Grow Old,Debbie Davies,0
Walk Away From Love,Willie Clayton,0
Rainbow Country (Red Gold And Green Version),Bob Marley & The Wailers,0
Strange Things,Tanto Metro & Devonte,0
Screamin' & Hollerin' The Blues,Alvin Youngblood Hart,0
Dholna Dholna,Naseebo Lal,0
Parchman Farm,Hot Tuna,0
A Lo Clasico,Daddy Yankee,0
Zhi Xiang Ni hui Yi,Hacken Lee,0
Amaze,Jimmy Riley,0
Radio Rape,The Cortinas,0
Ain't No Game,Masta Ace Incorporated,0
Cavaleiro De Aruanda,Jongo Trio,0
TELL ME WHY,George Nooks,0
Czwarty,Energy,0
Washington Post (1998 Digital Remaster),Felix Slatkin/Concert Arts Symphonic Band,0
No Pienses Asi,Eddie Palmieri,0
Cavalleria Rusticana,William Orbit,0
Forever,Chris Brown,0
Amor a Medias,HA-ASH,0
15 Step,Radiohead,0
I Love Your Way,Kashief Lindo,0
Lookin' For Me Somewhere,BoDeans,0
Raise Your Hands,Bon Jovi,0
Rainbow Dance,John Tchicai,0
Champagne & Reefer,Bongzilla,0
No More Doggin',Otis Spann,0
I Need a Veggie,John Holt,0
Get Happy,Danny Wilson,0
I'll Wait for You Dear,Al Dexter,0
From Afar (Album Version),Van Halen,0
Cry For Love,Capleton,0
Uncle B.S. - 1963,Tim Wilson,0
Woh\xc3\xa4r dr Wind w\xc3\xa4iht,Kisha,0
Volumatic Spacer Device,The Chap,0
Putt Jhatt Da Gulabi Phull Varga,DJ Vix,0
Namibia,Ziggy Marley And The Melody Makers,0
Unlearn,Crematorium,0
Vargbrodern Talar,M\xc3\xa5negarm,0
Sweet Lady,Ernest Ranglin / Floyd Lloyd,0
Forever,Franco,0
3,Britney Spears,0
Sleuthing,Danny Elfman,0
Meet Me in the City,Junior Kimbrough,0
Drama  (LP Version),Liquid Gang,0
