original_title,original_artist,spotify_title,spotify_artist,album,release_date,popularity,duration_ms,explicit,album_cover,genres
Je Sais Que La Terre Est Plate,Raphaël,Je sais que la Terre est plate,Raphaël,Je Sais Que La Terre Est Plate,2008-03-14,14,150040,False,https://i.scdn.co/image/ab67616d0000b2739e6b957c3a5c93a20ebc6e66,"['chanson', 'french pop', 'french rock', 'nouvelle chanson francaise']"
On Efface,Julie Zenatti,On efface,Julie Zenatti,Comme vous...,2004-03-21,1,253000,False,https://i.scdn.co/image/ab67616d0000b27398d44580b5414f6b817987d7,"['chanson', 'french pop']"
Howells Delight,The Baltimore Consort,Howells Delight,Anonymous,The Best of the Baltimore Consort,2011-02-01,3,240400,False,https://i.scdn.co/image/ab67616d0000b27353a906ca883e285a00010d9d,['medieval']
Martha Served,I Hate Sally,Martha Served,I Hate Sally,Don't Worry Lady,2007-06-12,1,138760,True,https://i.scdn.co/image/ab67616d0000b273e6d949cb1b5583c74a71d672,"['canadian metal', 'canadian post-hardcore', 'kingston on indie']"
Zip-A-Dee-Doo-Dah ,Orlando Pops Orchestra,"Zip-a-Dee-Doo-Dah (From ""Song of the South"")",Orlando Pops Orchestra,"Most Amazing Movie, Musical & TV Themes, Vol.6",2022-10-07,0,199986,False,https://i.scdn.co/image/ab67616d0000b27349ea4de53056850923451a15,['pops orchestra']
Liquid Time ,Brand X,Liquid Time,Brand X,X Communication : Trilogy II,1992-09-25,6,279360,False,https://i.scdn.co/image/ab67616d0000b27393de172203a148fbd75e40dc,"['british jazz', 'instrumental rock', 'jazz fusion', 'jazz rock', 'progressive rock', 'symphonic rock']"
Misery Path ,Amorphis,Misery Path,Amorphis,Rarities 1991 - 2001,2024-09-03,14,254653,False,https://i.scdn.co/image/ab67616d0000b273b48fca80821712ba1afbbc8a,"['finnish death metal', 'finnish melodeath', 'finnish metal', 'folk metal', 'gothic metal', 'melodic death metal', 'metal', 'power metal', 'progressive doom', 'symphonic metal', 'viking metal']"
Halloween,Dead Kennedys,Halloween,Dead Kennedys,"Plastic Surgery Disasters/In God We Trust, Inc.",1986-11-15,38,215160,False,https://i.scdn.co/image/ab67616d0000b27352cca74d27e706627d88da20,"['alternative rock', 'early us punk', 'hardcore punk', 'punk']"
Parto em terras distantes,Brigada Victor Jara,Parto em Terras Distantes,Brigada Victor Jara,Novas Vos Trago,1998-07-20,0,315680,False,https://i.scdn.co/image/ab67616d0000b2732070af52dc44e6b2d5c5cf6c,"['fado', 'folclore portugues']"
You Eclipsed By Me ,Atreyu,You Eclipsed By Me,Atreyu,The Curse (Deluxe Edition),2004-06-28,34,218906,True,https://i.scdn.co/image/ab67616d0000b273d3129712ceff55a3278ccb6a,"['alternative metal', 'melodic metalcore', 'metalcore', 'nu metal', 'post-grunge', 'screamo']"
