original_title,original_artist,spotify_title,spotify_artist,album,release_date,popularity,duration_ms,explicit,album_cover,kmeans_cluster,dbscan_cluster
Je Sais Que La Terre Est Plate,Raphaël,Je sais que la Terre est plate,Raphaël,Je Sais Que La Terre Est Plate,2008,14,150040,False,https://i.scdn.co/image/ab67616d0000b2739e6b957c3a5c93a20ebc6e66,1,0
On Efface,Julie Zenatti,On efface,Julie Zenatti,Comme vous...,2004,1,253000,False,https://i.scdn.co/image/ab67616d0000b27398d44580b5414f6b817987d7,1,1
Howells Delight,The Baltimore Consort,Howells Delight,Anonymous,The Best of the Baltimore Consort,2011,3,240400,False,https://i.scdn.co/image/ab67616d0000b27353a906ca883e285a00010d9d,1,2
Martha Served,I Hate Sally,Martha Served,I Hate Sally,Don't Worry Lady,2007,1,138760,True,https://i.scdn.co/image/ab67616d0000b273e6d949cb1b5583c74a71d672,1,3
Zip-A-Dee-Doo-Dah ,Orlando Pops Orchestra,"Zip-a-Dee-Doo-Dah (From ""Song of the South"")",Orlando Pops Orchestra,"Most Amazing Movie, Musical & TV Themes, Vol.6",2022,0,199986,False,https://i.scdn.co/image/ab67616d0000b27349ea4de53056850923451a15,1,2
Liquid Time ,Brand X,Liquid Time,Brand X,X Communication : Trilogy II,1992,6,279360,False,https://i.scdn.co/image/ab67616d0000b27393de172203a148fbd75e40dc,1,4
Misery Path ,Amorphis,Misery Path,Amorphis,Rarities 1991 - 2001,2024,14,254653,False,https://i.scdn.co/image/ab67616d0000b273b48fca80821712ba1afbbc8a,1,5
Halloween,Dead Kennedys,Halloween,Dead Kennedys,"Plastic Surgery Disasters/In God We Trust, Inc.",1986,38,215160,False,https://i.scdn.co/image/ab67616d0000b27352cca74d27e706627d88da20,1,6
Parto em terras distantes,Brigada Victor Jara,Parto em Terras Distantes,Brigada Victor Jara,Novas Vos Trago,1998,0,315680,False,https://i.scdn.co/image/ab67616d0000b2732070af52dc44e6b2d5c5cf6c,1,2
You Eclipsed By Me ,Atreyu,You Eclipsed By Me,Atreyu,The Curse (Deluxe Edition),2004,34,218906,True,https://i.scdn.co/image/ab67616d0000b273d3129712ceff55a3278ccb6a,1,-1
What Drives The Weak,Shadows Fall,What Drives the Weak,Shadows Fall,The War Within,2004,33,283773,False,https://i.scdn.co/image/ab67616d0000b2733445b186586d5cdff8973c32,1,7
Life Force,Vanessa Daou,Life Force,Vanessa Daou,Joe Sent Me,2008,1,232946,False,https://i.scdn.co/image/ab67616d0000b2730df02c8aa445538e34b73353,1,2
The Dance Of Europe,Dave Brockie Experience,The Dance Of Europe,Dave Brockie Experience,Diarrhea of a Madman,2001,4,136733,False,https://i.scdn.co/image/ab67616d0000b273a14db744b39513eb68b38897,1,2
Spoonie Is Back,Spoonie Gee,Spoonie Is Back,Spoonie Gee,The Message: The Roots of Rap,1999,4,391373,False,https://i.scdn.co/image/ab67616d0000b2738d9225147bad7bf9458fbfd2,1,8
Blood Round Dance Song ,R. Carlos Nakai,Blood Round Dance Song,R. Carlos Nakai,Changes (Canyon Records Definitive Remaster),1983,3,146247,False,https://i.scdn.co/image/ab67616d0000b273ee2924409c3ec43852dd4b4b,1,2
Crawling ,Linkin Park,Crawling,Linkin Park,Hybrid Theory (Bonus Edition),2000,78,208960,False,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a,1,-1
Bennie,Koffi Olomidé,Bennie,Koffi Olomide,Diva,1986,13,624480,False,https://i.scdn.co/image/ab67616d0000b27369f8ac8cea157cac7e7b6c6a,1,9
Playa del sous-sol,Alain-François,Playa del sous-sol,Alain-François,Vivant,2009,13,172306,False,https://i.scdn.co/image/ab67616d0000b273d71be756006293fa556de62f,1,2
Fascinating Rhythm  ,Billy May & His Orchestra,Fascinating Rhythm (Remastered 2014),Billy May & His Orchestra,40 Hits of Billy May,2023,0,309417,False,https://i.scdn.co/image/ab67616d0000b27387b3a9d0b35c11d5804809fc,1,10
I'm Not Moving,Phil Collins,I'm Not Moving - 2015 Remastered,Phil Collins,Face Value (Deluxe Editon),1981,31,155373,False,https://i.scdn.co/image/ab67616d0000b273f6954c1f074f66907a8c5483,1,11
Grand Frère,Philippe Sarde,"Grand frère - BOF ""Princesses""",Philippe Sarde,Princesses / Un Frère,2000,0,526440,False,https://i.scdn.co/image/ab67616d0000b273329e858a5d3fe567724f4b46,1,329
Up Above My Head,Sister Rosetta Tharpe & Marie,Up Above My Head I Hear Music In The Air,Sister Rosetta Tharpe,Gospel Train (Expanded Edition),1958,22,149804,False,https://i.scdn.co/image/ab67616d0000b273335f00b1e40586a31fb24d33,1,-1
Columbia,Oasis,Columbia - Remastered,Oasis,Definitely Maybe (Deluxe Edition Remastered),1994,50,377400,False,https://i.scdn.co/image/ab67616d0000b273d86a1e021e7acc7c07c7d668,1,12
Radar For Love,Kiss,Radar For Love,KISS,Asylum (Remastered Version),1985,3,241066,False,https://i.scdn.co/image/ab67616d0000b27339114b83cdf53c63e0b14dd5,1,13
Antarctica Starts Here,John Cale,Antarctica Starts Here - Remastered 2024,John Cale,Paris 1919 (Deluxe Edition),2024,25,171824,False,https://i.scdn.co/image/ab67616d0000b2736203ecb2863d44223da36613,1,-1
Out In The Street  ,UFO,Out in the Street - Live,UFO,Strangers in the Night (Live) [2008 Remaster],1979,20,314266,False,https://i.scdn.co/image/ab67616d0000b2736e1838dd1521f5b1484aed2a,1,14
Heavy On My Mind ,Back Door Slam,Heavy on My Mind,Back Door Slam,Roll Away (Deluxe Edition),2018,8,319840,False,https://i.scdn.co/image/ab67616d0000b273cff8c14cf84130c9db798218,1,15
Everyone make love,Cool cavemen,Everyone Make Love,Cool Cavemen,Multipolar,2013,0,235346,False,https://i.scdn.co/image/ab67616d0000b273bcf6718233cf3e02719cbd7d,1,2
Calm Da Seas,Dave Hollister,Calm Da Seas,Dave Hollister,Witness Protection,2008,5,258173,False,https://i.scdn.co/image/ab67616d0000b273be4c0273615eb17cb6918388,1,16
Ran Kan Kan,Nestor Torres,Ran Kan Kan,Néstor Torres,Mi Alma Latina (My Latin Soul),2002,12,194266,False,https://i.scdn.co/image/ab67616d0000b273dd48d486b337f5a381f9608f,1,2
Afraid Of Change ,Casa Bulga,Afraid Of Change - Tribal Vocal Mix,Casa Bulga,Afraid Of Change,2008,0,406146,False,https://i.scdn.co/image/ab67616d0000b273196885d2fa0c1c185cdbac3b,1,2
